Date,Open,High,Low,Close,Adj Close,Volume
2013-06-01,null,null,null,null,null,null
2013-07-01,48.500000,53.299999,46.700001,52.139999,50.269302,570461800
2013-08-01,52.840000,53.200001,47.639999,48.330002,46.595997,470388900
2013-09-01,49.369999,52.880001,47.830002,48.509998,46.778503,469357000
2013-10-01,48.849998,51.570000,47.599998,48.779999,47.038872,548937600
2013-11-01,48.869999,53.680000,48.230000,52.919998,51.041340,427626200
2013-12-01,52.959999,53.410000,50.270000,52.110001,50.260090,402157100
2014-01-01,52.029999,55.279999,47.290001,47.430000,45.746239,674576100
2014-02-01,47.840000,50.150002,46.189999,48.630001,46.913383,506390800
2014-03-01,47.799999,51.000000,46.790001,47.599998,45.919750,663022400
2014-04-01,47.720001,48.619999,45.180000,47.910000,46.218792,525271500
2014-05-01,47.810001,48.349998,46.080002,47.570000,45.890804,316654200
2014-06-01,47.599998,49.590000,46.919998,47.099998,45.446877,342891400
2014-07-01,47.419998,50.590000,46.549999,48.910000,47.193356,386137000
2014-08-01,48.590000,52.389999,47.650002,51.650002,49.847153,290310100
2014-09-01,51.779999,54.130001,51.119999,51.820000,50.011215,340562900
2014-10-01,51.680000,53.900002,48.110001,53.529999,51.661526,503346100
2014-11-01,53.419998,54.520000,52.630001,53.970001,52.096066,224588800
2014-12-01,53.799999,56.950001,51.110001,54.110001,52.231213,394695100
2015-01-01,54.360001,54.689999,46.599998,46.950001,45.319813,498106700
2015-02-01,47.200001,52.869999,46.900002,52.419998,50.610630,342327400
2015-03-01,52.419998,54.720001,50.470001,51.520000,49.741699,461254600
2015-04-01,51.369999,54.459999,50.980000,53.320000,51.479561,348709400
2015-05-01,53.639999,55.369999,52.349998,54.080002,52.213333,294649500
2015-06-01,54.680000,57.639999,54.130001,55.240002,53.383827,386034800
2015-07-01,56.009998,60.950001,52.770000,58.459999,56.495632,453308300
2015-08-01,58.619999,59.250000,47.099998,53.480000,51.726864,402819000
2015-09-01,52.400002,53.000000,48.470001,49.610001,47.983723,407086900
2015-10-01,49.419998,55.060001,47.709999,53.169998,51.427021,389632000
2015-11-01,53.450001,56.459999,52.490002,54.090000,52.364704,298931100
2015-12-01,54.400002,55.330002,50.500000,51.750000,50.099342,359001500
2016-01-01,50.750000,51.610001,39.439999,42.580002,41.221844,592019600
2016-02-01,42.360001,42.830002,34.520000,38.849998,37.657230,590981900
2016-03-01,39.150002,44.259998,39.099998,41.750000,40.468197,464471200
2016-04-01,41.520000,47.840000,39.950001,46.279999,44.859116,436400500
2016-05-01,46.540001,47.599998,42.810001,46.570000,45.187954,398070000
2016-06-01,46.040001,47.060001,38.310001,42.389999,41.132000,578511900
2016-07-01,42.299999,45.029999,40.029999,43.810001,42.509865,410614200
2016-08-01,43.919998,48.180000,42.500000,47.740002,46.491188,369740000
2016-09-01,47.820000,48.169998,45.160000,47.230000,45.994522,385863700
2016-10-01,47.020000,50.599998,46.779999,49.150002,47.864304,347224200
2016-11-01,49.400002,56.830002,47.700001,56.389999,54.914909,544496100
2016-12-01,56.770000,61.299999,55.930000,59.430000,58.066799,448406800
2017-01-01,60.680000,61.630001,55.419998,55.830002,54.549374,417711800
2017-02-01,56.720001,60.950001,55.230000,59.810001,58.438076,333101400
2017-03-01,61.200001,62.529999,56.549999,59.820000,58.615170,434014700
2017-04-01,59.930000,61.020000,57.549999,59.119999,57.929268,317066500
2017-05-01,59.389999,62.689999,58.930000,60.540001,59.479015,343076600
2017-06-01,60.889999,67.750000,60.169998,66.879997,65.707901,402155500
2017-07-01,67.239998,68.910004,65.519997,68.449997,67.250381,352970600
2017-08-01,69.089996,69.860001,65.860001,68.029999,66.837753,345341600
2017-09-01,68.110001,72.970001,65.690002,72.739998,71.796158,299867700
2017-10-01,73.070000,76.139999,70.910004,73.500000,72.546303,360485700
2017-11-01,73.989998,76.889999,70.019997,75.500000,74.520348,289638400
2017-12-01,75.709999,77.919998,73.779999,74.410004,73.760300,335091300
2018-01-01,75.089996,80.699997,73.970001,78.480003,77.794762,333178000
2018-02-01,78.269997,79.230003,71.000000,75.489998,74.830864,345124100
2018-03-01,75.500000,76.529999,67.500000,67.500000,67.182076,397762100
2018-04-01,68.330002,73.379997,66.550003,68.269997,67.948441,372694400
2018-05-01,68.239998,73.300003,65.199997,66.690002,66.375893,347079500
2018-06-01,67.489998,69.169998,65.239998,67.199997,67.199997,260855100
2018-06-22,68.040001,68.209999,67.160004,67.199997,67.199997,16337261
